antecedent,consequent,support,confidence,total_items
мед,макароны,0.012798293560858553,0.2696629213483146,2
блинчики,макароны,0.025596587121717106,0.26928471248246844,2
"макароны, минеральная вода",шоколад,0.01639781362485002,0.2679738562091503,3
"макароны, шоколад",яйца,0.010931875749900012,0.2679738562091503,3
"говяжий фарш, минеральная вода",шоколад,0.010931875749900012,0.267100977198697,3
растительное масло,шоколад,0.013598186908412212,0.26631853785900783,2
гамбургер,макароны,0.023196907079056125,0.2660550458715596,2
"минеральная вода, шоколад",молоко,0.013998133582189041,0.26582278481012656,3
"минеральная вода, яйца",шоколад,0.013464871350486601,0.2643979057591623,3
"макароны, минеральная вода",молоко,0.0161311825089988,0.2636165577342048,3
рис,макароны,0.01986401813091588,0.26140350877192986,2
оливковое масло,молоко,0.017064391414478068,0.2591093117408907,2
минеральная вода,макароны,0.06119184108785495,0.25671140939597314,2
"минеральная вода, яйца",молоко,0.013064924676709772,0.25654450261780104,3
"минеральная вода, шоколад",яйца,0.013464871350486601,0.25569620253164554,3
замороженный смузи,макароны,0.0161311825089988,0.25473684210526315,2
травы и перец,яйца,0.012531662445007332,0.25336927223719674,2
гамбургер,картофель-фри,0.021997067057725635,0.25229357798165136,2
креветки,шоколад,0.017997600319957337,0.251865671641791,2
лосось,шоколад,0.010665244634048793,0.2507836990595611,2
оливковое масло,шоколад,0.01639781362485002,0.24898785425101214,2
шоколад,макароны,0.040794560725236635,0.24898291293734742,2
"макароны, минеральная вода",яйца,0.015197973603519531,0.24836601307189546,3
молоко,шоколад,0.03212904946007199,0.2479423868312757,2
шампанское,шоколад,0.011598453539528063,0.24786324786324784,2
"говяжий фарш, минеральная вода",яйца,0.010131982402346354,0.247557003257329,3
замороженные овощи,молоко,0.023596853752832957,0.24755244755244757,2
эскалоп,макароны,0.01959738701506466,0.24705882352941178,2
курица,молоко,0.014798026929742702,0.24666666666666667,2
креветки,молоко,0.01759765364618051,0.2462686567164179,2
курица,шоколад,0.014664711371817091,0.24444444444444446,2
замороженные овощи,шоколад,0.022930275963204905,0.24055944055944053,2
курица,яйца,0.01439808025596587,0.24,2
молоко,яйца,0.03079589388081589,0.23765432098765432,2
помидоры,замороженные овощи,0.0161311825089988,0.23586744639376217,2
замороженный смузи,шоколад,0.01493134248766831,0.23578947368421052,2
торт,яйца,0.019064124783362217,0.23519736842105263,2
зеленый чай,минеральная вода,0.03106252499666711,0.23511604439959638,2
говяжий фарш,шоколад,0.023063591521130515,0.23473541383989144,2
креветки,замороженные овощи,0.01666444474070124,0.23320895522388058,2
"минеральная вода, молоко",говяжий фарш,0.011065191307825623,0.23055555555555557,3
"минеральная вода, молоко",замороженные овощи,0.011065191307825623,0.23055555555555557,3
растительное масло,яйца,0.011731769097453673,0.2297650130548303,2
замороженный смузи,картофель-фри,0.014531395813891481,0.22947368421052633,2
торт,макароны,0.01853086255165978,0.22861842105263158,2
блинчики,яйца,0.021730435941874418,0.2286115007012623,2
замороженные овощи,яйца,0.021730435941874418,0.22797202797202798,2
замороженный смузи,молоко,0.014264764698040262,0.22526315789473686,2
рис,шоколад,0.017064391414478068,0.22456140350877193,2
растительное масло,молоко,0.011465137981602452,0.22454308093994776,2
говяжий фарш,молоко,0.021997067057725635,0.22388059701492538,2
эскалоп,шоколад,0.01759765364618051,0.22184873949579834,2
минеральная вода,шоколад,0.05265964538061592,0.220917225950783,2
торт,картофель-фри,0.01786428476203173,0.22039473684210528,2
низкокалорийный йогурт,яйца,0.01679776029862685,0.21951219512195125,2
макароны,шоколад,0.040794560725236635,0.2170212765957447,2
тертый сыр,говяжий фарш,0.011331822423676844,0.2162849872773537,2
зеленый чай,картофель-фри,0.028529529396080524,0.21594349142280528,2
яйца,макароны,0.038661511798426876,0.21513353115727002,2
эскалоп,минеральная вода,0.017064391414478068,0.21512605042016805,2
оливковое масло,говяжий фарш,0.014131449140114652,0.2145748987854251,2
макароны,говяжий фарш,0.040261298493534194,0.21418439716312057,2
минеральная вода,яйца,0.05092654312758299,0.21364653243847875,2
картофель-фри,яйца,0.036395147313691506,0.21294851794071765,2
зеленый чай,макароны,0.028129582722303693,0.2129162462159435,2
блинчики,картофель-фри,0.020130649246767097,0.211781206171108,2
низкокалорийный йогурт,макароны,0.0161311825089988,0.21080139372822299,2
шоколад,картофель-фри,0.03439541394480736,0.209926769731489,2
блинчики,шоколад,0.01986401813091588,0.20897615708274897,2
тертый сыр,шоколад,0.010931875749900012,0.20865139949109412,2
"минеральная вода, шоколад",говяжий фарш,0.010931875749900012,0.20759493670886073,3
эскалоп,картофель-фри,0.01639781362485002,0.20672268907563024,2
макароны,яйца,0.038661511798426876,0.20567375886524825,2
гамбургер,молоко,0.01786428476203173,0.20489296636085627,2
помидоры,молоко,0.013998133582189041,0.2046783625730994,2
помидоры,шоколад,0.013998133582189041,0.2046783625730994,2
говяжий фарш,яйца,0.019997333688841486,0.20352781546811397,2
шоколад,яйца,0.03319557392347687,0.20260374288039054,2
яйца,картофель-фри,0.036395147313691506,0.20252225519287834,2
минеральная вода,молоко,0.04799360085321957,0.20134228187919462,2
картофель-фри,шоколад,0.03439541394480736,0.20124804992199688,2
суп,шоколад,0.010131982402346354,0.20052770448548812,2
"макароны, минеральная вода",замороженные овощи,0.012265031329156113,0.20043572984749458,3
гамбургер,зеленый чай,0.0174643380882549,0.2003058103975535,2
